ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
,205,20791,7,369,564,10,87,3,0
4,129,18630,7,,593,15,56,5,0
8,224,19910,9,,419,17,66,3,0
8,214,22018,8,357,363,18,100,5,0
9,181,17979,7,310,398,12,32,4,0
6,188,28749,8,327,280,8,55,3,0
10,248,28750,8,394,284,14,85,3,0
9,203,13672,5,303,475,12,63,4,0
,119,14286,8,269,389,13,54,4,0
11,227,25485,9,404,564,18,72,4,0
7,166,32453,8,327,425,16,79,4,0
8,219,18768,8,,364,15,76,4,0
7,157,18731,4,282,348,16,80,3,0
,150,27331,7,299,380,19,77,4,0
7,205,28388,5,,445,13,70,5,0
6,187,41065,10,364,517,12,75,4,0
7,211,30981,10,,315,20,57,4,0
9,274,24041,7,398,478,13,71,5,0
9,279,19460,6,,431,13,64,2,0
7,214,25630,4,336,470,13,63,3,0
,227,22306,10,,555,16,45,4,0
7,168,30944,6,311,524,18,77,4,0
,216,17107,6,327,436,14,60,5,0
4,197,21168,7,,444,17,90,5,0
5,141,17267,10,328,473,11,57,5,0
7,199,21219,9,324,413,15,80,5,0
3,208,33425,9,384,442,14,30,4,0
,146,13225,8,304,299,13,50,4,0
,266,26363,8,395,364,10,53,4,0
,148,15193,9,307,564,17,53,6,0
7,210,15196,6,338,342,8,72,5,0
10,191,19678,7,,453,17,47,3,0
10,118,22327,8,308,413,13,66,5,0
7,235,32556,7,387,412,10,44,3,0
,232,14787,5,,384,12,86,5,0
5,192,19621,6,324,442,11,49,4,0
4,184,24752,6,286,457,9,74,3,0
6,304,17282,6,,399,12,82,3,0
,143,19942,6,,427,22,53,3,0
9,199,24684,6,328,397,16,30,4,0
,234,11704,5,309,349,18,43,4,0
5,195,16659,8,317,335,10,60,4,0
7,239,28780,7,386,332,11,66,5,0
10,203,9974,7,337,333,24,72,5,0
5,183,21568,5,,404,19,67,5,0
6,217,35606,7,,505,16,78,4,0
7,210,10575,4,316,391,13,87,3,0
11,173,15759,6,307,324,10,78,4,0
,130,34416,6,305,470,19,72,4,0
9,200,21536,5,318,405,14,48,4,0
,168,27492,7,300,384,16,76,3,0
8,100,12014,5,247,605,10,66,2,0
7,145,19872,5,288,546,11,72,4,0
9,212,11921,7,340,528,18,48,4,0
11,182,21784,7,340,457,16,34,4,0
7,260,30617,9,,405,16,67,5,0
9,238,28780,8,382,481,6,39,4,0
5,190,24324,7,325,405,8,99,4,0
,158,16964,8,300,361,13,72,4,0
,155,20557,8,,290,17,60,4,0
4,233,32145,7,348,269,10,64,4,0
6,213,20965,5,328,369,14,18,4,0
,229,35730,9,385,296,17,,4,0
9,195,24656,8,,398,12,48,4,0
8,128,32654,7,,416,11,78,4,0
6,212,21815,8,,362,15,64,5,0
5,239,34874,9,374,670,13,77,5,0
,103,27420,8,,486,11,68,5,0
,211,12830,5,327,333,16,50,3,0
7,180,24965,6,349,501,17,51,4,0
7,183,6743,4,278,428,10,90,4,0
6,116,33224,7,297,504,9,48,4,0
6,131,19460,7,300,557,14,58,5,0
9,242,22984,8,,353,19,70,4,0
,219,14859,6,344,425,16,49,5,0
7,211,25651,7,,383,14,91,5,0
4,159,23030,7,287,307,10,80,4,0
4,164,37962,7,327,468,15,51,4,0
6,177,24468,6,315,478,16,58,2,0
7,218,31903,10,377,426,9,70,4,0
